Vertical,3rd Party Data Brand,3rd Party Data ID,Clicks,Impressions,Hypothetical Advertiser Cost (Adv Currency),01 - Total Click + View Conversions
Agriculture,Data Alliance,846.0,5,7951,15.020223784567944,0
Agriculture,Data Alliance,6301.0,67,58412,112.54883848653861,5
Agriculture,Data Alliance,2539882.0,10,12177,24.887305663941213,1
Agriculture,Data Alliance,7403018.0,92,96678,230.22331839161737,2
Agriculture,Data Alliance,7568953.0,15,10231,19.664985582571543,0
Agriculture,Data Alliance,7762161.0,121,81542,148.68333676766116,2
Agriculture,Data Alliance,7867848.0,50,50790,99.96845393703042,1
Agriculture,Data Alliance,7868581.0,3,2639,5.044985159118599,0
Agriculture,Data Alliance,8022686.0,2,7822,14.636704127255738,0
Agriculture,Data Alliance,8228466.0,34,39949,81.31851618779618,4
Agriculture,Data Alliance,8439596.0,43,50592,97.20198348841929,5
Agriculture,Data Alliance,8439639.0,9,19473,38.26400915132253,0
Agriculture,Data Alliance,8439786.0,53,66344,130.32759957775096,6
Agriculture,Data Alliance,8750599.0,39,37126,75.99821804173449,5
Agriculture,Data Alliance,8909884.0,12,32598,63.274725077759236,1
Agriculture,Data Alliance,8910125.0,6,9851,19.345168832520798,1
Agriculture,Data Alliance,9567727.0,56,59933,116.18362930629003,3
Agriculture,Data Alliance,9635482.0,0,186,0.362903751545516,0
Agriculture,Data Alliance,10311213.0,188,124009,228.36571268130655,6
Agriculture,Data Alliance,10582318.0,11,32944,71.94763966467562,7
Agriculture,Data Alliance,10965869.0,97,83771,151.38129926068888,7
Agriculture,Data Alliance,10965875.0,27,30647,56.404429421666315,4
Agriculture,Data Alliance,11814764.0,92,96626,187.13036130324883,4
Agriculture,Data Alliance,12165178.0,23,23586,48.63936549484632,1
Agriculture,Data Alliance,12858451.0,0,499,1.021300418874225,0
Agriculture,Data Alliance,13138568.0,3,5450,12.340831511586938,0
Agriculture,Data Alliance,14290367.0,14,31917,56.534359216292316,10
Agriculture,Data Alliance,14290368.0,4,16256,29.289278575213654,22
Agriculture,Data Alliance,14311033.0,2,2108,3.973009604822865,2
Agriculture,Data Alliance,14311034.0,1,2809,5.263646364627926,1
Agriculture,Data Alliance,14311035.0,3,4357,8.054481345159322,1
Agriculture,Data Alliance,14311036.0,2,6197,11.44430584236953,1
Agriculture,Data Alliance,14311037.0,5,9189,17.129698444859656,4
Agriculture,Data Alliance,14311038.0,3,8546,15.824531411705888,2
Agriculture,Data Alliance,14311039.0,10,8680,15.690582520692212,3
Agriculture,Data Alliance,14311040.0,4,6845,12.98130124740844,1
Agriculture,Data Alliance,14311041.0,3,5191,9.49879537435841,0
Agriculture,Data Alliance,14311042.0,3,4062,7.621655109722652,0
Agriculture,Data Alliance,14311103.0,0,2107,3.777400055217006,0
Agriculture,Data Alliance,14311104.0,0,2923,5.206030391183412,0
Agriculture,Data Alliance,14311105.0,0,4063,7.3551933875885105,2
Agriculture,Data Alliance,14311106.0,5,5268,9.54676606319037,0
Agriculture,Data Alliance,14311107.0,2,7057,13.00974515510393,0
Agriculture,Data Alliance,14311108.0,2,7940,14.478416942523502,1
Agriculture,Data Alliance,14311109.0,7,9378,17.105742373856234,6
Agriculture,Data Alliance,14311110.0,0,5834,11.177378935509893,0
